Respondent ID,What is your role?  , What type of institution are you affiliated with? ,where is your educational institution located?,Which attendance method is currently used in your institution? ,How satisfied are you with the current system? ,What is your ideal method for taking attendance?,What is the maximum acceptable time for a check-in process? ,How comfortable are you with using facial recognition for attendance? ,How important is it to validate a student’s location (via GPS) before allowing check-in? ,Should the app allow instructors to override check-ins in case of technical errors? ,How will you like to be notified?,What would you want to be notified about?, How concerned are you about the storage of facial recognition data? ,How comfortable are u with the app notifying  parents about  attendance? ,Any reasons?,"Do you have any suggestions, comments, or concerns about the proposed system? ",What are the main issues with your current attendance system? : Human errors in recording,What are the main issues with your current attendance system? : Time-consuming process,What are the main issues with your current attendance system? : All of the above,What are the main issues with your current attendance system? : Lack of automation,What are the main issues with your current attendance system? : Impersonation,What are the main issues with your current attendance system? : Delayed access to attendance records,What are the main issues with your current attendance system? : Lack of real-time updates,Which of the following features are important for an ideal attendance system : All,Which of the following features are important for an ideal attendance system : Instant access to attendance records for students/instructors,Which of the following features are important for an ideal attendance system : Geofencing to restrict check-in to classroom boundaries,Which of the following features are important for an ideal attendance system : Facial recognition for identity verification,Which of the following features are important for an ideal attendance system : Real-time attendance tracking,Which of the following features are important for an ideal attendance system : Integration with course schedules (filtering by date/course),What security measures are most critical for this system? : If possible implement multiple factor authentication,What security measures are most critical for this system? : Regular data deletion policies,What security measures are most critical for this system? : All of the above,What security measures are most critical for this system? : Encrypted biometric data storage,What security measures are most critical for this system? : User consent for data usage,What security measures are most critical for this system? : Anonymous location tracking,What security measures are most critical for this system? : Two-factor authentication for instructors,Comment Category
R011,Student,University,Buea,Manual sign-in sheets,3,Click automatic record time and date,≤10 seconds,5,3,No,Pop-up notifications;in-app notifications,No answer,2,1,No answer,No answer,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No Concern
R012,Student,University,Buea,Manual sign-in sheets,2,Biometrics,60 seconds,3,4,Yes,Pop-up notifications,Attendance success,2,3,No reason,The storage method and overall performance,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,General Feedback
R013,Student,University,Buea,Both manual sign-in sheet and teachers calling out names,3,Biometric,≤10 seconds,4,5,Yes,Pop-up notifications;email;sms;in-app notifications,The scheduling of a class and the state of my attendance,1,1,Because i hate when they want to control me,No answer,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No Concern
R014,Student,University,Douala,Teacher calls out names,1,The use of finger prints,≤3 seconds,4,Not important,No,Email;sms;in-app notifications,I wish to be notified about my presence in class once i have signed in or taken my attendance so in future i can proof that i was present during any technical error,Not concerned,1,Well i have none,"Well facial recognition is a very complex topic because it deals with the face of individuals hence if there is any damage done to the face or maybe if a student wears a cap or covers his iron her face like muslims the system won't be able to tell who is who at that point , and also the geo fencing part seems to be a great idea but the peoples location data is something pretty sensitive which means you'll need permission to access it but its for a school so i guess do will have permission by force or you could make it as a school app so students must have it apart from this all is good , good luck",No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,General Feedback
R015,Student,University,Buea,Manual sign-in sheets,4,No answer,≤10 seconds,3,3,Yes,Email;sms,No answer,3,2,No answer,No answer,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No Concern
R016,Student,University,"African leadership university, kigali, rwanda",Mobile appsrfid cards,5,No answer,≤5 seconds,5,5,No,Sms,Time of check-in and time of sign-outs,3,3,No answer,No answer,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No Concern
R017,Student,University,Buea,Manual sign-in sheets,3,Name calling,≤10 seconds,3,3,Not sure,Pop-up notifications,If your attendance was taken,3,3,Distrust,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,General Feedback
R018,Student,University,Buea,Teacher calls out names,2,No answer,≤3 seconds,2,4,Yes,Pop-up notifications,No,3,3,No answer,No answer,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No Concern
R019,Student,University,Buea,Manual sign-in sheets,3,Sign on sheet of paper,≤10 seconds,2,4,Not sure,Pop-up notifications,Class time and location and if teacher canceled class,3,2,No,Not really,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,General Feedback
R020,Student,University,Buea,Manual sign-in sheets,3,Sign-in sheet,≤3 seconds,4,Not important,Yes,Email,If i’ve successfully been marked as present for class,1,1,No reason,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,General Feedback
R021,Student,University,Buea,Manual sign-in sheets,3,Biometric time attendance system,≤10 seconds,4,4,Yes,In-app notifications,Check ins,1,5,No answer,No answer,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No Concern
R022,Student,Faculty,Buea,Teacher calls out names,3,No answer,≤10 seconds,3,3,Yes,In-app notifications,No answer,3,1,No answer,No answer,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No Concern
R023,Student,University,Buea,Manual sign-in sheets,3,Biometric,≤5 seconds,3,4,Not sure,Pop-up notifications;email,Next class and location,2,2,No answer,The app should permit students to request for permission from lecturers.,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes,General Feedback
R024,Student,University,Buea,Teacher calls out names,3,Biometrics,≤5 seconds,4,3,Not sure,Email,No answer,1,1,Most students in the university are adults,No,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,General Feedback
R025,Student,University,Buea,Manual sign-in sheets,3,Mobile appsrfid cards,≤10 seconds,3,Not important,No,Pop-up notifications,No answer,2,1,No answer,No answer,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No Concern
R026,Student,University,Buea,Manual sign-in sheets,3,Biometric identification,≤10 seconds,1,3,No,Email,My absence,1,1,Weity ma paa wan do with my attendance,No answer,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No Concern
R027,Student,University,Buea,Manual sign-in sheets,3,Automated,≤3 seconds,5,Not important,No,Pop-up notifications;in-app notifications,"Absences,",Not concerned,3,No answer,No answer,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No Concern
R028,Student,University,Buea,Manual sign-in sheets,2,No answer,≤10 seconds,4,3,Yes,Email;sms;in-app notifications,No answer,Not concerned,5,No answer,No answer,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No Concern
R029,Student,University,Buea,Manual sign-in sheets,3,No answer,≤3 seconds,2,Not important,Not sure,Pop-up notifications,"Time, location and tutor",2,1,Not necessary,If it can be made not to use mobile data it will be more preferable,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,General Feedback
R030,Student,University,Buea,Manual sign-in sheets,3,Biometric system,≤10 seconds,4,3,No,Email,No answer,2,2,No answer,No answer,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No Concern
R031,Student,University,Buea,Manual sign-in sheets,4,Online sheet,≤10 seconds,4,5,Yes,Email,No answer,3,5,No answer,No answer,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No Concern
R032,Student,University,Buea,Manual sign-in sheets,2,I really don’t know,≤10 seconds,4,4,Yes,Pop-up notifications,School,2,4,Nope,Nope,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No Concern
R033,Student,University,Buea,Manual sign-in sheets,2,Biometric,≤5 seconds,2,4,Not sure,Pop-up notifications,No answer,3,3,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,General Feedback
R034,Student,University,Bafousaam,Manual sign-in sheets,3,Don't have any specific,≤10 seconds,4,4,No,Sms,No answer,3,3,Mo,No answer,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No Concern
R035,Student,University,Buea,Manual sign-in sheets,3,No answer,≤10 seconds,4,3,No,Email,No answer,3,3,No answer,No answer,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No Concern
R036,Academic administrator,University,Buea,Manual sign-in sheets,5,Face recognition,≤5 seconds,3,Not important,No,Email,No answer,3,2,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,General Feedback
R037,Student,University,Buea,Manual sign-in sheets,3,No answer,≤10 seconds,3,4,Yes,Pop-up notifications;sms,No answer,3,1,No answer,No answer,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No Concern
R038,Student,University,Buea,Manual sign-in sheets,2,Biometric,≤5 seconds,4,3,Yes,Pop-up notifications;email;sms,Sms whatsapp email,3,2,The must no know everything,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,General Feedback
R039,Student,University,Buea,Manual sign-in sheets,3,No answer,≤10 seconds,3,3,Not sure,In-app notifications,No answer,3,2,No answer,No answer,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No Concern
R040,Student,University,Buea,Manual sign-in sheets,1,I don’t know,≤3 seconds,4,3,No,In-app notifications,No answer,3,1,Privacy,No answer,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No Concern
R041,Student,University,Buea,Manual sign-in sheets,3,Automatically and with identication procedures,≤10 seconds,1,3,Yes,Pop-up notifications;email;sms,Passcode,3,1,Because it would be a form of monitoring and,No suggestions,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,General Feedback
R042,Student,University,Buea,Manual sign-in sheets,2,No answer,≤5 seconds,2,4,Yes,Pop-up notifications,No answer,2,1,No answer,No answer,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No Concern
R043,Student,University,Buea,Manual sign-in sheets,2,No answer,≤5 seconds,4,3,Yes,Pop-up notifications,No answer,2,5,No answer,No answer,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No Concern
R044,Student,University,Buea,Manual sign-in sheets,3,A system that allows students to simply indicate whenever they’re present for a particular class and should be kept by the lecturer,≤10 seconds,4,3,Yes,Pop-up notifications,Class attendance,3,3,No answer,It’s a great idea needs more work to it asides these mentioned already,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,General Feedback
R045,Student,University,Buea,Teacher calls out names,3,Manually writing of names,≤10 seconds,4,4,Yes,Pop-up notifications;email;sms,"If i have been marked present or absent, class is ongoing",1,3,No answer,It's a very interesting project,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,General Feedback
R046,Student,School,Buea,Teacher calls out names,2,An automated method in which each student can register their attendance then the teacher or crosscheck at the end,≤3 seconds,3,Not important,Not sure,Sms;in-app notifications,My attendance record at the end of the term,3,3,So that i can skip school peacefully 👀,I think it's a good idea 👍,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,General Feedback
R047,Student,University,Buea,Manual sign-in sheets,3,No answer,≤10 seconds,3,3,Not sure,Pop-up notifications,No answer,2,3,No answer,No answer,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No Concern
R048,Student,University,Buea,Manual sign-in sheets,3,Meh anything that takes the attendance,≤10 seconds,1,3,Not sure,Pop-up notifications;email;sms;in-app notifications,Anything,1,1,Yes... i'll not be able to do my things 😒,I'll think about it and tell you later,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,General Feedback
R049,Student,University,Buea,Manual sign-in sheets,3,No answer,≤3 seconds,1,5,Yes,Pop-up notifications,No answer,3,3,No answer,No answer,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No Concern
R050,Student,University,Yaounde,Manual sign-in sheets,1,Using a database for efficient storage and,≤10 seconds,4,5,Yes,Email,About my check in history,3,5,No,No answer,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No Concern
R051,Student,University,Buea,Manual sign-in sheets,4,None exacly,≤3 seconds,3,3,No,Pop-up notifications,No answer,3,3,No,No answer,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No Concern
R052,Student,University,Buea,Manual sign-in sheets,3,No answer,≤10 seconds,4,3,Yes,Pop-up notifications;email,No answer,2,1,No answer,No answer,Yes,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No Concern
R053,Student,University,Buea,Manual sign-in sheets,2,No answer,≤5 seconds,5,Not important,Not sure,Email;sms,"Attendance, assignments and other announcements",2,1,We’re adults no need involving our parents,The system is a good idea,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,General Feedback
R054,Student,University,Buea,Manual sign-in sheets,3,No answer,≤3 seconds,3,3,Yes,Pop-up notifications,No answer,3,3,No answer,No answer,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No Concern
R055,Student,University,Buea,Manual sign-in sheets,3,No answer,≤10 seconds,2,3,Yes,Email;sms,Sms,Not concerned,2,No answer,No answer,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No Concern
R056,Student,University,Buea,Manual sign-in sheets,3,Mobile apps,≤5 seconds,2,Not important,Not sure,In-app notifications,No answer,Not concerned,2,Personal reasons,No answer,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No Concern
R057,Crypto enthusiasts,Training center,Yaounde,Manual sign-in sheets,3,Biometric,≤10 seconds,4,Not important,Yes,Pop-up notifications,No answer,3,1,To keep parents inform,No answer,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No Concern
R058,Student,University,Buea,Manual sign-in sheets,3,No answer,≤5 seconds,3,3,Yes,Email;in-app notifications,No answer,3,1,No answer,The current school system isn't on pair with such a system,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,General Feedback
R059,Student,University,Buea,Manual sign-in sheets,3,I’d love to answer this. but why shud i help you get a way to get more attendance results 😔it’ll put some of us who dnt attend classes in danger 😔,≤5 seconds,4,Not important,Yes,Pop-up notifications,Bro i dnt knw 😭😂,3,1,Bro what😭😂ofc i don’t want my parents knowing about my attendance,We dnt need this innovation 😭😂not yet. let me finish school 😂thank you,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,General Feedback
R060,Student,University,Buea,Manual sign-in sheets,3,With biométrique data,≤5 seconds,3,3,No,In-app notifications,No answer,3,1,I like my privacy,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,General Feedback
R061,Student,University,Buea,Manual sign-in sheets,1,By using a facial recognition,≤10 seconds,5,4,Yes,Email,No answer,2,5,No answer,No answer,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No Concern
R062,Student,University,Buea,Manual sign-in sheets,3,"Geolocation , biometric and facial recognition",≤10 seconds,4,5,Not sure,Pop-up notifications;email;sms,If a class is going on and where,2,2,I don't want them to bother about me,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,General Feedback
R063,Student,Training center,Douala,Manual sign-in sheets,2,A system should be build for the attendance,≤5 seconds,4,Not important,Yes,Sms,No answer,2,5,No answer,No answer,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No Concern
R064,Student,University,Buea,Manual sign-in sheets,2,Don't know,≤10 seconds,3,5,Not sure,Email,No answer,3,3,No answer,No answer,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No Concern
R065,Student,University,Buea,Manual sign-in sheets,3,No answer,≤3 seconds,3,5,Not sure,Pop-up notifications,No answer,2,3,No answer,No answer,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No Concern
R066,Student,University,Buea,Manual sign-in sheets,3,No answer,≤5 seconds,3,4,Not sure,Sms,Present,3,3,No answer,No answer,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No Concern
R067,Student,University,Buea,Manual sign-in sheets,4,No answer,≤10 seconds,2,Not important,No,Pop-up notifications,No answer,Not concerned,2,No answer,No answer,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No Concern
R068,Student,University,Buea,Teacher calls out names,3,Barcode scanner,≤5 seconds,2,3,Yes,Pop-up notifications,No answer,3,1,Nope,Nope,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No Concern
R069,Student,University,Buea,Manual sign-in sheets,3,Automation,≤5 seconds,4,4,Yes,Pop-up notifications,Ateltendance,2,4,Some students may be deceiving their parents that they are always present in class.,This is a very good innovation. i anticipate to see the realization of this project.,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,General Feedback
R070,Student,University,Buea,Manual sign-in sheets,2,No answer,≤5 seconds,2,5,Yes,Sms,No answer,Not concerned,1,No answer,No answer,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No Concern
R071,Student,University,Buea,Manual sign-in sheets,2,No answer,≤10 seconds,2,4,Yes,Pop-up notifications;in-app notifications,The summary of my attendance every week,2,2,No answer,It's a good idea,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,General Feedback
R072,Student,University,Buea,Manual sign-in sheets,2,No answer,≤5 seconds,4,4,Not sure,Pop-up notifications,No answer,2,1,No answer,No answer,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No Concern
R073,Student,University,Buea,Manual sign-in sheets,3,Role call,≤5 seconds,1,3,Not sure,Email;sms,Not sure,3,2,Privacy,Nope,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No Concern
R074,Student,University,"Kansas city, mo",Mobile appsrfid cards,3,Automated system,≤10 seconds,3,5,Yes,In-app notifications,Checked in successfully,3,2,Privacy violation,Nope,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes,No Concern
R075,Student,Training center,Limbe,Manual sign-in sheets,3,No answer,≤10 seconds,3,3,Yes,Pop-up notifications,When class is to start,3,2,No answer,It's a good stuff u guys put there . i was thinking of something similar but seems like my idea is already living in someone 🙂,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,General Feedback
R076,Student,University,Buea,Manual sign-in sheets,3,Calling out names,≤10 seconds,2,3,Not sure,Email,The end result of the questionnaire,2,4,Because it helps them to know the where about of their children especially the recalcitrant ones,It should be more of helping the youths and even the next generation,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,General Feedback
R077,Student,University,Buea,Manual sign-in sheets,3,What is your ideal method for takig attendance,≤10 seconds,4,3,Yes,Email,No answer,3,3,No is okay,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,General Feedback
R078,Student,University,Buea,Biometric systems,3,No answer,≤10 seconds,3,3,Yes,Pop-up notifications,You know how to get to me better than i do thank you,3,3,🫣🫣😂,No answer,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No Concern
R079,Student,University,Buea,Manual sign-in sheets,1,No answer,≤5 seconds,3,3,Yes,Email,My attendance records,3,4,No answer,Good,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,General Feedback
